id,book name,author,rating,reviews count,price,reading age,print length,publishing date,genre,log_reviews,year,month,publishing_date,year_published,month_published,quarter_published,days_since_published,is_recent,author_avg_reviews,author_median_reviews,author_book_count,author_reviews_std,author_avg_rating,genre_avg_reviews,genre_median_reviews,genre_book_count,price_per_page,is_expensive,rating_normalized,high_rating,rating_price_interaction,author_genre_popularity,format_Board book,format_Cards,format_Hardcover,format_Paperback,price_cat_Budget,price_cat_Standard,price_cat_Premium,price_cat_Luxury
47,Where's Bluey?: A Search-and-Find Book,Penguin Young Readers Licenses,4.8,9137,2.7,2 years and up,32.0,2022-01-25,Arts & Music & Photography,9.120196822123217,2022.0,1.0,2022-01-25,2022.0,1.0,1.0,1525.0,0,9137.0,9137.0,1,,4.8,16535.0,9344.0,3,0.084375,0,0.8749999999999994,1,12.96,151080295.0,False,False,False,True,True,False,False,False
48,Twisted Love,Ana Huang,4.2,142671,9.99,,352.0,2022-09-27,Fiction & Action & Adventure,11.86830356837466,2022.0,9.0,2022-09-27,2022.0,9.0,3.0,1280.0,0,125499.0,125499.0,2,24284.88,4.3,199796.88,165631.0,33,0.02838068181818182,0,0.12500000000000056,0,41.958000000000006,25074308643.12,False,False,False,True,True,False,False,False
49,Icebreaker,Hannah Grace,4.3,113454,9.4,,448.0,2023-02-07,Fiction & Action & Adventure,11.63916156151537,2023.0,2.0,2023-02-07,2023.0,2.0,1.0,1147.0,0,113454.0,113454.0,1,,4.3,199796.88,165631.0,33,0.02098214285714286,0,0.25,0,40.42,22667755223.52,False,False,False,True,True,False,False,False
50,Things We Hide from the Light,Lucy Score,4.4,119095,9.95,,592.0,2023-02-21,Fiction & Action & Adventure,11.687685169556893,2023.0,2.0,2023-02-21,2023.0,2.0,1.0,1133.0,0,175653.0,175653.0,2,79985.09,4.45,199796.88,165631.0,33,0.01680743243243243,0,0.37500000000000056,0,43.78,35094921362.64,False,False,False,True,True,False,False,False
51,Reminders of Him: A Novel,Colleen Hoover,4.7,347742,9.03,,335.0,2022-01-18,Fiction & Action & Adventure,12.759218980179783,2022.0,1.0,2022-01-18,2022.0,1.0,1.0,1532.0,0,318063.2,347742.0,5,117795.63,4.62,199796.88,165631.0,33,0.026955223880597012,0,0.75,1,42.440999999999995,63548035002.816,False,False,False,True,True,False,False,False
52,A Court of Mist and Fury,Sarah J. Maas,4.8,287325,12.16,,656.0,2020-06-02,Fiction & Action & Adventure,12.568372738610265,2020.0,6.0,2020-06-02,2020.0,6.0,2.0,2127.0,0,221068.4,269981.0,5,106715.92,4.62,199796.88,165631.0,33,0.018536585365853658,1,0.8749999999999994,1,58.367999999999995,44168776586.592,False,False,False,True,False,True,False,False
53,The Legend of Zelda: Tears of the Kingdom  The Complete Official Guide: Collector's Edition,Piggyback,4.8,7876,20.19,,496.0,2023-07-07,Computers & Technology,8.971702399703325,2023.0,7.0,2023-07-07,2023.0,7.0,3.0,997.0,0,7876.0,7876.0,1,,4.8,7876.0,7876.0,1,0.04070564516129033,1,0.8749999999999994,1,96.912,62031376.0,False,False,True,False,False,False,False,True
54,Elon Musk,Walter Isaacson,4.7,22689,19.93,,688.0,2023-09-12,Biographies & Memoirs,10.029679577773887,2023.0,9.0,2023-09-12,2023.0,9.0,3.0,930.0,0,22689.0,22689.0,1,,4.7,54823.57,39574.0,7,0.028968023255813952,1,0.75,1,93.671,1243891979.73,False,False,True,False,False,False,True,False
55,I Will Teach You to Be Rich: No Guilt. No Excuses. Just a 6-Week Program That Works (Second Edition),Ramit Sethi,4.6,23034,10.17,,352.0,2019-05-14,Business & Money,10.044770077370018,2019.0,5.0,2019-05-14,2019.0,5.0,2.0,2512.0,0,23034.0,23034.0,1,,4.6,48360.4,29360.0,5,0.028892045454545455,0,0.6249999999999994,1,46.782,1113933453.6000001,False,False,False,True,False,True,False,False
56,Haunting Adeline,H. D. Carlton,4.4,163368,17.18,,627.0,2021-08-13,Mystery & Thriller & Suspense,12.00376672492696,2021.0,8.0,2021-08-13,2021.0,8.0,3.0,1690.0,0,163368.0,163368.0,1,,4.4,243347.0,146289.5,6,0.02740031897926635,1,0.37500000000000056,0,75.592,39755112696.0,False,False,False,True,False,False,True,False
