id,book name,author,rating,reviews count,form,price,reading age,print length,publishing date,genre,log_reviews,year,month
74,The Complete Cookbook for Young Chefs,Americas Test Kitchen Kids,4.8,25279,Hardcover,9.4,8 years and up,208.0,2018-10-16,Cookbooks & Food,10.137768848260794,2018.0,10.0
75,"The Boy, the Mole, the Fox and the Horse: Inspiring Conversations on Hope, Love and Personal Growth",Charlie Mackesy,4.8,127734,Hardcover,17.62,7 years and up,128.0,2019-10-22,Comics & Graphic Novels,11.75771308434231,2019.0,10.0
76,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,104512,Paperback,24.99,,364.0,2018-12-10,Self-Improvement,11.557066744563603,2018.0,12.0
77,The Complete Summer I Turned Pretty Trilogy (Boxed Set): The Summer I Turned Pretty; It's Not Summer Without You; We'll Always Have Summer,Jenny Han,4.8,14746,Paperback,24.62,12 years and up ,928.0,2013-05-07,Fiction & Action & Adventure,9.598794951250941,2013.0,5.0
78,The Exchange: After The Firm (The Firm Series),John Grisham,4.1,72785,Hardcover,12.97,,352.0,2023-10-17,Mystery & Thriller & Suspense,11.195278907998974,2023.0,10.0
79,Dragons Love Tacos,"Adam Rubin, Daniel Salmieri",4.8,20638,Hardcover,9.82,2 years and up,40.0,2012-06-14,Reading & Writing,9.934937768809375,2012.0,6.0
80,The Nightingale: A Novel,Kristin Hannah,4.7,396005,Paperback,13.48,,608.0,,Fiction & Action & Adventure,12.889184641636986,,
81,Harry Potter Paperback Box Set,"J. K. Rowling, Mary GrandPre?",4.9,65142,Paperback,52.62,9 years and up,,2009-07-01,Reading & Writing,11.08434013242126,2009.0,7.0
82,Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,4.8,27090,Paperback,10.21,,216.0,2015-06-01,Self-Improvement,10.206956848388238,2015.0,6.0
83,Stop Overthinking,Nick Trenton,4.7,14647,Paperback,10.2,,200.0,2021-03-01,Business & Money,9.592059086354347,2021.0,3.0
84,A Court of Wings and Ruin,Sarah J. Maas,4.7,269981,Paperback,12.81,,736.0,2020-06-02,Fiction & Action & Adventure,12.506110569091524,2020.0,6.0
85,The Subtle Art of Not Giving a F*ck,Mark Manson,4.5,158416,Hardcover,13.43,,224.0,2016-09-13,Self-Improvement,11.97298607583606,2016.0,9.0
86,American Prometheus,"Kai Bird, Martin J. Sherwin",4.7,13739,Paperback,14.71,,721.0,2006-05-01,Biographies & Memoirs,9.52806656577634,2006.0,5.0
87,Fast Like a Girl,Dr. Mindy Pelz,4.7,7992,Hardcover,12.81,,352.0,2022-12-27,Health & Fitness & Dieting,8.98632143762602,2022.0,12.0
88,The Shadow Work Journal 2nd Edition,Keila Shaheen,4.6,3296,Paperback,21.74,,227.0,2023-02-28,Self-Improvement,8.10076824307173,2023.0,2.0
89,The Alchemist,Paulo Coelho,4.6,123058,Paperback,5.03,,208.0,2014-04-15,Biographies & Memoirs,11.720419194144123,2014.0,4.0
90,Love You Forever,"Robert Munsch, Sheila McGraw",4.9,67104,Paperback,4.98,baby and up,32.0,1995-09-01,Reading & Writing,11.114013835831907,1995.0,9.0
91,How to Catch a Unicorn,"Adam Wallace, Andy Elkerton",4.8,37369,Hardcover,5.96,3 years and up,40.0,2019-03-05,Reading & Writing,10.52862352247953,2019.0,3.0
92,All the Light We Cannot See,Anthony Doerr,4.5,235857,Paperback,10.18,,544.0,2017-04-04,Fiction & Action & Adventure,12.370985208001462,2017.0,4.0
93,The Ballad of Songbirds and Snakes,Suzanne Collins,4.5,105084,Paperback,10.83,12 years and up ,528.0,2023-08-01,Fiction & Action & Adventure,11.562524825461512,2023.0,8.0
94,What to Expect When You're Expecting,Heidi Murkoff,4.8,30260,Paperback,9.43,,656.0,2016-05-31,Health & Fitness & Dieting,10.317615033722944,2016.0,5.0
95,The Last Thing He Told Me,Laura Dave,4.3,168512,Paperback,7.16,,336.0,2023-03-21,Fiction & Action & Adventure,12.034768177133854,2023.0,3.0
96,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes)",Snoop Dogg,4.8,40073,Hardcover,12.0,1 year and up,192.0,2018-10-23,Cookbooks & Food,10.59848302395369,2018.0,10.0
97,The 5 Love Languages,Gary Chapman,4.8,91554,Paperback,1.89,,224.0,2024-06-01,Self-Improvement,11.424695163575814,2024.0,6.0
98,"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8,89173,Paperback,5.26,3 - 4 years,84.0,2019-08-27,Reading & Writing,11.398344796258973,2019.0,8.0
99,How to Catch a Mermaid,"Adam Wallace, Andy Elkerton",4.8,34994,Hardcover,5.71,3 years and up,40.0,,Reading & Writing,10.46296047312364,,
100,A Court of Frost and Starlight,Sarah J. Maas,4.2,181184,Paperback,12.74,,272.0,2020-06-02,Fiction & Action & Adventure,12.107273887707489,2020.0,6.0
